# Xbs Ybs THbs Xgl Ygl THgl Xlc Ylc THlc time
0.632836 -0.058652 19.768498  0.299052 0.974564 2.763284  -0.364294 0.953485 -8.018240  1445405521.431225
0.641799 -0.046635 19.792826  0.285060 0.979947 2.787612  -0.366582 0.938669 -7.993912  1445405521.481721
0.650471 -0.034406 19.816532  0.270943 0.984993 2.811319  -0.368514 0.923802 -7.970205  1445405521.532192
0.658851 -0.021980 19.839816  0.256715 0.989704 2.834602  -0.370095 0.908898 -7.946922  1445405521.582621
0.666944 -0.009360 19.862620  0.242378 0.994087 2.857406  -0.371333 0.893957 -7.924118  1445405521.632904
0.674741 0.003426 19.885197  0.227961 0.998141 2.879984  -0.372231 0.879009 -7.901540  1445405521.683196
0.682260 0.016396 19.907042  0.213442 1.001877 2.901828  -0.372798 0.864027 -7.879696  1445405521.733469
0.689483 0.029505 19.928660  0.198869 1.005289 2.923446  -0.373037 0.849062 -7.858078  1445405521.783944
0.696419 0.042773 19.950419  0.184221 1.008384 2.945206  -0.372949 0.834091 -7.836318  1445405521.834469
0.703078 0.056191 19.970824  0.169503 1.011170 2.965611  -0.372546 0.819117 -7.815913  1445405521.884998
0.710093 0.071113 19.992809  0.153241 1.013893 2.987596  -0.371753 0.802647 -7.793928  1445405521.935275
0.716195 0.084829 20.012480  0.138386 1.016063 3.007267  -0.370717 0.787670 -7.774257  1445405521.985548
0.722020 0.098643 20.032067  0.123512 1.017939 3.026853  -0.369391 0.772737 -7.754671  1445405522.035830
0.727572 0.112556 20.051061  0.108616 1.019527 3.045847  -0.367778 0.757844 -7.735677  1445405522.086281
0.732864 0.126583 20.069970  0.093681 1.020832 3.064756  -0.365881 0.742973 -7.716768  1445405522.136583
0.737897 0.140718 20.088399  0.078712 1.021859 3.083185  -0.363705 0.728127 -7.698339  1445405522.186858
0.742666 0.154927 20.106546  0.063743 1.022613 3.101332  -0.361262 0.713340 -7.680192  1445405522.237200
0.747182 0.169218 20.124128  0.048763 1.023100 3.118915  -0.358556 0.698598 -7.662609  1445405522.287524
0.751442 0.183579 20.141485  0.033785 1.023322 3.136271  -0.355592 0.683915 -7.645252  1445405522.337867
0.755457 0.198024 20.158701  0.018793 1.023285 3.153487  -0.352371 0.669273 -7.628037  1445405522.388212
0.759222 0.212527 20.175691  0.003812 1.022993 3.170477  -0.348903 0.654696 -7.611047  1445405522.438598
0.762742 0.227083 20.192398  -0.011154 1.022449 3.187185  -0.345192 0.640187 -7.594339  1445405522.489088
0.766009 0.241673 20.209558  -0.026084 1.021654 3.204344  -0.340835 0.624327 -7.575458  1445405522.539601
0.769327 0.257824 20.227253  -0.042531 1.020485 3.222039  -0.336608 0.609943 -7.559485  1445405522.590037
0.772103 0.272578 20.243029  -0.057486 1.019172 3.237816  -0.332148 0.595608 -7.543708  1445405522.640502
0.774643 0.287349 20.258749  -0.072394 1.017628 3.253536  -0.327472 0.581368 -7.527988  1445405522.690968
0.776952 0.302154 20.274159  -0.087272 1.015851 3.268945  -0.322576 0.567207 -7.512579  1445405522.741463
0.779031 0.316993 20.289455  -0.102121 1.013844 3.284241  -0.317461 0.553123 -7.497282  1445405522.791940
0.780883 0.331866 20.304724  -0.116941 1.011609 3.299510  -0.312129 0.539116 -7.482014  1445405522.842276
0.782509 0.346766 20.320048  -0.131726 1.009150 3.314835  -0.306585 0.525191 -7.466689  1445405522.892620
0.783909 0.361688 20.335034  -0.146472 1.006466 3.329821  -0.300830 0.511352 -7.451703  1445405522.943008
0.785088 0.376650 20.349710  -0.161196 1.003559 3.344496  -0.294862 0.497581 -7.437028  1445405522.993467
0.786046 0.391620 20.364329  -0.175868 1.000438 3.359116  -0.288076 0.482562 -7.420969  1445405523.043946
0.786848 0.408110 20.380472  -0.191962 0.996755 3.375259  -0.281678 0.468963 -7.406265  1445405523.094433
0.787348 0.423102 20.394922  -0.206531 0.993187 3.389709  -0.275096 0.455484 -7.391815  1445405523.144926
0.787631 0.438070 20.409344  -0.221020 0.989416 3.404130  -0.268333 0.442127 -7.377394  1445405523.195396
0.787695 0.453030 20.424358  -0.235440 0.985436 3.419145  -0.261381 0.428881 -7.362379  1445405523.246058
0.787540 0.468025 20.438441  -0.249836 0.981236 3.433228  -0.254219 0.415706 -7.348296  1445405523.296349
0.787176 0.483000 20.452468  -0.264156 0.976839 3.447254  -0.246881 0.402647 -7.334270  1445405523.346613
0.786602 0.497973 20.466410  -0.278418 0.972242 3.461196  -0.239359 0.389687 -7.320328  1445405523.396902
0.785820 0.512920 20.480295  -0.292598 0.967451 3.475081  -0.231666 0.376849 -7.306442  1445405523.447380
0.784828 0.527880 20.494124  -0.306733 0.962455 3.488910  -0.223781 0.364097 -7.292613  1445405523.497827
